2026-04-15 21:59:13,445 | backend | INFO | Received odom for galaxy pose=[-1.137, 0.764, 0.0, 0.0, 0.0, -0.4856, -0.8742]
2026-04-15 21:59:18,354 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:18,392 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:18,425 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:18,426 | backend | INFO | Received odom for ysc pose=[2.218, -0.549, 0.0, 0.0, 0.0, -0.7312, 0.6822]
2026-04-15 21:59:18,429 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:18,437 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:18,439 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:18,442 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:18,537 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:18,540 | backend | INFO | Received odom for galaxy pose=[-1.065, 0.843, 0.0, 0.0, 0.0, -0.8213, -0.5704]
2026-04-15 21:59:23,380 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:23,449 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:23,449 | backend | INFO | Received odom for ysc pose=[1.451, 0.086, 0.0, 0.0, 0.0, -0.2154, 0.9765]
2026-04-15 21:59:23,454 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:23,460 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:23,471 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:23,474 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:23,476 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:23,546 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:23,546 | backend | INFO | Received odom for galaxy pose=[0.188, 0.274, 0.0, 0.0, 0.0, -0.9881, -0.1541]
2026-04-15 21:59:28,391 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:28,461 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:28,493 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:28,493 | backend | INFO | Received odom for ysc pose=[2.163, -0.045, 0.0, 0.0, 0.0, 0.3767, 0.9263]
2026-04-15 21:59:28,493 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:28,509 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:28,512 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:28,514 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:28,562 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:28,562 | backend | INFO | Received odom for galaxy pose=[1.233, -0.503, 0.0, 0.0, 0.0, -0.9563, 0.2924]
2026-04-15 21:59:33,451 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:33,541 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:33,541 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:33,574 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:33,574 | backend | INFO | Received odom for ysc pose=[2.949, -0.742, 0.0, 0.0, 0.0, 0.8395, 0.5434]
2026-04-15 21:59:33,574 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:33,574 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:33,574 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:33,648 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:33,648 | backend | INFO | Received odom for galaxy pose=[0.909, -0.898, 0.0, 0.0, 0.0, -0.7288, 0.6847]
2026-04-15 21:59:38,465 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:38,550 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:38,580 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:38,582 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:38,586 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:38,598 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:38,598 | backend | INFO | Received odom for ysc pose=[2.24, -0.893, 0.0, 0.0, 0.0, 0.9996, -0.0299]
2026-04-15 21:59:38,610 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:38,705 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:38,705 | backend | INFO | Received odom for galaxy pose=[-0.427, -0.597, 0.0, 0.0, 0.0, -0.3548, 0.9349]
2026-04-15 21:59:43,478 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:43,550 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:43,594 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:43,597 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:43,600 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:43,613 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:43,614 | backend | INFO | Received odom for ysc pose=[1.452, -0.267, 0.0, 0.0, 0.0, 0.807, -0.5906]
2026-04-15 21:59:43,666 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:43,814 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:43,814 | backend | INFO | Received odom for galaxy pose=[-1.292, 0.174, 0.0, 0.0, 0.0, 0.0973, 0.9953]
2026-04-15 21:59:45,628 | backend | INFO | HTTP GET / -> 404 (0.2 ms)
2026-04-15 21:59:45,737 | backend | INFO | HTTP GET /favicon.ico -> 404 (0.2 ms)
2026-04-15 21:59:48,501 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:48,575 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:48,627 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:48,628 | backend | INFO | Received odom for ysc pose=[2.135, 0.15, 0.0, 0.0, 0.0, 0.3311, -0.9436]
2026-04-15 21:59:48,639 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:48,641 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:48,643 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:48,668 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:48,884 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:48,884 | backend | INFO | Received odom for galaxy pose=[-0.693, 0.806, 0.0, 0.0, 0.0, 0.5272, 0.8497]
2026-04-15 21:59:50,186 | backend | INFO | HTTP GET /docs -> 200 (0.2 ms)
2026-04-15 21:59:50,945 | backend | INFO | HTTP GET /openapi.json -> 200 (10.3 ms)
2026-04-15 21:59:53,556 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:53,629 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:53,629 | backend | INFO | Received odom for ysc pose=[2.946, -0.294, 0.0, 0.0, 0.0, -0.2597, -0.9657]
2026-04-15 21:59:53,632 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:53,661 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:53,664 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:53,666 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:53,675 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:53,991 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:53,991 | backend | INFO | Received odom for galaxy pose=[0.691, 0.807, 0.0, 0.0, 0.0, 0.8493, 0.5279]
2026-04-15 21:59:58,613 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 21:59:58,666 | backend | INFO | Received video frame for galaxy/main
2026-04-15 21:59:58,669 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 21:59:58,671 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 21:59:58,681 | backend | INFO | Received video frame for piper/side
2026-04-15 21:59:58,706 | backend | INFO | Received video frame for ysc/main
2026-04-15 21:59:58,717 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 21:59:58,717 | backend | INFO | Received odom for ysc pose=[2.275, -0.908, 0.0, 0.0, 0.0, -0.7663, -0.6425]
2026-04-15 21:59:59,008 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 21:59:59,008 | backend | INFO | Received odom for galaxy pose=[1.294, 0.187, 0.0, 0.0, 0.0, 0.9946, 0.1042]
2026-04-15 22:00:03,664 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:03,670 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:03,677 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:03,738 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:03,741 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:03,749 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:03,814 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:03,814 | backend | INFO | Received odom for ysc pose=[1.453, -0.706, 0.0, 0.0, 0.0, -0.9962, -0.0873]
2026-04-15 22:00:04,065 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:04,065 | backend | INFO | Received odom for galaxy pose=[0.466, -0.58, 0.0, 0.0, 0.0, 0.9394, -0.3428]
2026-04-15 22:00:08,726 | backend | INFO | Received video frame for piper/arm_full
2026-04-15 22:00:08,739 | backend | INFO | Received video frame for galaxy/left_arm
2026-04-15 22:00:08,742 | backend | INFO | Received video frame for galaxy/right_arm
2026-04-15 22:00:08,748 | backend | INFO | Received video frame for ysc/main
2026-04-15 22:00:08,811 | backend | INFO | Received video frame for galaxy/main
2026-04-15 22:00:08,815 | backend | INFO | Received video frame for piper/side
2026-04-15 22:00:08,911 | backend | INFO | Received pointcloud for ysc with 8000 points
2026-04-15 22:00:08,912 | backend | INFO | Received odom for ysc pose=[2.139, -0.009, 0.0, 0.0, 0.0, -0.8649, 0.5019]
2026-04-15 22:00:09,101 | backend | INFO | Received pointcloud for galaxy with 10000 points
2026-04-15 22:00:09,101 | backend | INFO | Received odom for galaxy pose=[-0.879, -0.899, 0.0, 0.0, 0.0, 0.6941, -0.7199]
